Name,Team,G,Rec ,Rec Yds,Rec YG,Rec Avg,Lng ,YAC ,Rec 1stD,Rec TD,KR ,KR Yds,KR Avg,KR Long,KR TD,PR,PR Yds,PR Avg,PR Long,PR TD,Fum ,FumL 
 Jerome Simpson,CIN,16,50,725,45.3,14.5,84,5.2,34,4,0,0, ,0,0,0,0, ,0,0,0,0
 Greg Little,CLE,16,61,709,44.3,11.6,76,4.1,35,2,0,0,0,0,0,0,0,0,0,0,0,0
 Deion Branch,NWE,15,51,702,46.8,13.8,63,6.7,37,5,0,0, ,0,0,0,0, ,0,0,0,0
 Early Doucet,ARI,16,54,689,43.1,12.8,70,6.7,35,5,0,0,0,0,0,0,0,0,0,0,1,0
 Jason Avant,PHI,16,52,679,42.4,13.1,35,3.7,33,1,0,0, ,0,0,0,0, ,0,0,2,2
 David Nelson,BUF,16,61,658,41.1,10.8,35,3.7,32,5,0,0,0,0,0,0,0,0,0,0,0,0
 Santonio Holmes,NYJ,16,51,654,40.9,12.8,38,3.9,34,8,0,0, ,0,0,0,0, ,0,0,2,1
 James Jones,GNB,16,38,635,39.7,16.7,70,7.6,27,7,0,0,0,0,0,0,0,0,0,0,1,0
 Lance Moore,NOR,14,52,627,44.8,12.1,47,3,35,8,0,0, ,0,0,0,0, ,0,0,0,0
 Robert Meachem,NOR,16,40,620,38.8,15.5,67,2.8,29,6,0,0, ,0,0,0,0, ,0,0,0,0
 Denarius Moore,OAK,13,33,618,47.5,18.7,78,4.4,26,5,2,37,18.5,20,0,25,216,8.6,34,0,0,0
 Brandon LaFell,CAR,16,36,613,38.3,17,91,6.2,23,3,0,0,0,0,0,0,0,0,0,0,0,0
