Name,Team,G,Rush,Rush Yds,Rush YG,Rush Avg,Rush TD,Rec,Rec Tgt,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC,Rec 1stD,Rec TD,Fum,FumL
Ryan Grant,GNB,1,8,45,45.0,5.6,0,0,0,0,0.0,,0,,0,0,0,0
John Conner,NYJ,16,8,44,2.8,5.5,1,2,4,9,0.6,4.5,7,1.5,1,0,0,0
Gartrell Johnson,ATL,9,10,36,4.0,3.6,0,3,5,6,0.7,2.0,10,3.3,0,0,1,0
Ovie Mughelli,ATL,16,13,36,2.3,2.8,0,13,18,126,7.9,9.7,18,8.5,5,1,0,0
Albert Young,MIN,3,13,29,9.7,2.2,0,2,2,11,3.7,5.5,13,6.0,0,0,0,0
Jason Wright,ARI,15,6,28,1.9,4.7,0,8,16,42,2.8,5.3,9,5.8,1,0,0,0
Jonathan Dwyer,PIT,1,9,28,28.0,3.1,0,0,0,0,0.0,,0,,0,0,0,0
Rock Cartwright,OAK,16,9,22,1.4,2.4,0,1,3,10,0.6,10.0,10,9.0,0,0,0,0
Tony Fiammetta,CAR,14,7,22,1.6,3.1,0,5,10,34,2.4,6.8,11,4.4,3,0,0,0
Darrel Young,WAS,16,4,19,1.2,4.8,0,1,1,3,0.2,3.0,3,4.0,1,1,0,0
Quinton Ganther,BUF,8,9,18,1.6,2.0,0,2,3,9,0.8,4.5,8,2.5,0,0,0,0
Spencer Larsen,DEN,11,3,18,1.6,6.0,0,5,5,51,4.6,10.2,29,8.4,3,1,0,0
Chris Gronkowski,DAL,14,5,17,1.2,3.4,0,7,14,35,2.5,5.0,12,4.3,2,1,0,0
Thomas Clayton,CLE,2,7,17,5.7,2.4,0,0,0,0,0.0,,0,,0,0,0,0
Tony Richardson,NYJ,16,5,13,0.8,2.6,0,5,5,31,1.9,6.2,14,5.4,1,0,0,0
Mike Karney,STL,12,6,12,1.0,2.0,0,5,5,14,1.2,2.8,4,2.4,1,0,0,0
Michael Bennett,OAK,7,2,11,1.6,5.5,0,2,2,9,1.3,4.5,6,4.0,0,0,0,0
Kareem Huggins,TAM,3,4,11,3.7,2.8,0,1,2,7,2.3,7.0,7,1.0,1,0,0,0
Curtis Brinkley,SDG,3,2,11,3.7,5.5,0,0,0,0,0.0,,0,,0,0,0,0
Lawrence Vickers,CLE,16,5,11,0.7,2.2,0,4,9,15,0.9,3.8,10,2.8,1,0,0,0
Jerious Norwood,ATL,2,2,8,4.0,4.0,0,1,3,9,4.5,9.0,9,11.0,0,0,0,0
Garrett Wolfe,CHI,16,4,8,0.5,2.0,0,0,0,0,0.0,,0,,0,0,0,0
Josh Vaughan,CAR,3,3,7,2.3,2.3,1,0,0,0,0.0,,0,,0,0,0,0
Corey McIntyre,BUF,16,4,5,0.3,1.3,1,4,8,32,2.0,8.0,14,8.8,1,0,1,1
Greg Jones,JAC,16,2,4,0.3,2.0,0,11,11,47,2.9,4.3,12,3.9,2,0,0,0
Tim Castille,KAN,10,5,3,0.3,0.6,0,10,12,43,4.3,4.3,14,5.2,3,0,0,0
Larry Johnson,WAS,2,5,2,1.0,0.4,0,0,0,0,0.0,,0,,0,0,0,0
Heath Evans,NOR,16,2,2,0.1,1.0,0,7,11,41,2.6,5.9,18,5.6,4,1,0,0
Mike Sellers,WAS,16,4,2,0.1,0.5,0,20,40,224,14.0,11.2,28,7.6,9,0,0,0
Jehuu Caulcrick,BUF,2,1,2,1.0,2.0,0,0,0,0,0.0,,0,,0,0,0,0
Ahmard Hall,TEN,16,1,1,0.1,1.0,0,15,20,100,6.3,6.7,19,8.0,5,0,0,0
Cedric Peerman,CIN,7,2,1,0.1,0.5,0,1,3,11,1.6,11.0,11,4.0,1,0,0,0
Naufahu Tahi,MIN,15,1,1,0.1,1.0,0,6,6,39,2.6,6.5,11,6.2,3,1,0,0
Chris Massey,STL,16,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Reagan Maui'a,ARI,15,0,0,0.0,,0,2,6,20,1.3,10.0,10,9.5,2,0,0,0
DeShawn Wynn,NOR,4,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Mike Cox,KAN,7,0,0,0.0,,0,4,4,27,3.9,6.8,13,6.5,1,0,0,0
Erik Lorig,TAM,9,0,0,0.0,,0,1,2,10,1.1,10.0,10,8.0,1,0,0,0
Deon Anderson,DAL,1,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Chauncey Washington,STL,1,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Korey Hall,GNB,12,0,0,0.0,,0,1,1,9,0.8,9.0,9,9.0,0,0,0,0
Vonta Leach,HOU,16,0,0,0.0,,0,8,15,91,5.7,11.4,21,9.0,3,0,0,0
Moran Norris,SFO,16,3,0,0.0,0.0,0,4,9,20,1.3,5.0,8,4.0,1,0,0,0
Lex Hilliard,MIA,16,0,0,0.0,,0,1,2,3,0.2,3.0,3,6.0,0,0,0,0
Kregg Lumpkin,TAM,11,1,0,0.0,0.0,0,1,1,12,1.1,12.0,12,16.0,1,0,0,0
Darius Reynaud,NYG,9,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Chris Henry,SEA,1,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Leonard Weaver,PHI,1,1,0,0.0,0.0,0,0,0,0,0.0,,0,,0,0,0,0
Madison Hedgecock,NYG,4,0,0,0.0,,0,2,2,8,2.0,4.0,7,5.5,0,0,0,0
Jalen Parmele,BAL,16,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Montell Owens,JAC,16,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Patrick Cobbs,MIA,16,4,0,0.0,0.0,0,8,19,91,5.7,11.4,29,4.0,4,2,0,0
Quinn Johnson,GNB,11,0,0,0.0,,0,3,4,26,2.4,8.7,11,7.0,2,0,0,0
Chris Pressley,CIN,4,1,0,0.0,0.0,0,1,1,6,0.9,6.0,6,3.0,0,0,0,0
Owen Schmitt,PHI,15,0,0,0.0,,0,19,24,136,9.1,7.2,18,5.6,9,1,0,0
Jerome Johnson,ARI,1,0,0,0.0,,0,0,1,0,0.0,,0,,0,0,0,0
Lorenzo Booker,MIN,4,0,0,0.0,,0,5,6,32,8.0,6.4,7,6.4,3,0,1,1
Chad Simpson,WAS,3,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Brock Bolen,JAC,4,0,0,0.0,,0,1,3,15,3.8,15.0,15,4.0,1,0,0,0
Clifton Smith,CLE,2,0,0,0.0,,0,0,0,0,0.0,,0,,0,0,0,0
Andre Brown,DEN,3,2,-1,-0.3,-0.5,0,0,0,0,0.0,,0,,0,0,0,0
Devin Moore,IND,4,2,-2,-0.5,-1.0,0,0,0,0,0.0,,0,,0,0,1,1
Antone Smith,ATL,9,1,-3,-0.3,-3.0,0,0,1,0,0.0,,0,,0,0,0,0
