Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Lng,YAC,Rec.1stD,Rec.TD,KR,KR.Yds,KR.Avg,KR.Long,KR.TD,PR,PR.Yds,PR.Avg,PR.Long,PR.TD,Fum,FumL,year
David Anderson,HOU,12,11,18,117,9.8,10.6,35,5.1,5,0,0,0,NA,0,0,4,26,6.5,17,0,0,0,2010
Riley Cooper,PHI,13,7,18,116,8.9,16.6,37,2.4,5,1,0,9,NA,9,0,0,0,NA,0,0,0,0,2010
Chad Hall,PHI,8,11,18,115,14.4,10.5,48,2.9,5,1,4,65,16.3,21,0,3,31,10.3,14,0,0,0,2010
Verran Tucker,KAN,11,6,19,114,10.4,19,38,3.5,5,1,4,73,18.3,24,0,0,0,NA,0,0,0,0,2010
Tiquan Underwood,JAC,10,8,22,111,11.1,13.9,22,3,6,0,24,561,23.4,53,0,0,0,NA,0,0,0,0,2010
Roydell Williams,WAS,16,8,18,109,6.8,13.6,34,7.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Eric Decker,DEN,14,6,8,106,7.6,17.7,38,4.7,4,1,22,556,25.3,51,0,0,0,NA,0,0,1,1,2010
Johnnie Lee Higgins,OAK,13,10,30,103,7.9,10.3,26,1.9,5,0,0,0,NA,0,0,17,123,7.2,53,0,0,0,2010
Stephen Williams,ARI,11,9,23,101,9.2,11.2,17,4.1,5,0,1,14,14,14,0,0,0,NA,0,0,0,0,2010
Dominique Zeigler,SFO,11,9,15,98,8.9,10.9,20,2,5,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Dezmon Briscoe,TAM,2,6,7,93,46.5,15.5,54,6.8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
Julian Edelman,NWE,15,7,14,86,5.7,12.3,40,14.6,3,0,0,0,NA,0,0,21,321,15.3,94,1,0,0,2010
Rashied Davis,CHI,16,9,14,84,5.3,9.3,21,3.6,6,1,5,70,14,32,0,0,0,NA,0,0,0,0,2010
Donte' Stallworth,BAL,8,2,5,82,10.3,41,67,14,2,0,0,0,NA,0,0,0,0,NA,0,0,1,1,2010
Adrian Arrington,NOR,1,7,9,79,79,11.3,17,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Brett Swain,GNB,16,6,9,72,4.5,12,31,9.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Anthony Gonzalez,IND,2,5,9,67,33.5,13.4,34,3.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Ramses Barden,NYG,6,5,7,64,10.7,12.8,26,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Mardy Gilyard,STL,11,6,16,63,5.7,10.5,21,2.3,4,0,16,356,22.3,34,0,0,0,NA,0,0,0,0,2010
Roberto Wallace,MIA,12,6,10,62,5.2,10.3,19,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Eric Weems,ATL,16,6,6,61,3.8,10.2,18,3.7,3,0,40,1100,27.5,102,1,18,230,12.8,55,1,0,0,2010
Lavelle Hawkins,TEN,6,5,6,61,10.2,12.2,24,1.4,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Kassim Osgood,JAC,16,6,16,60,3.8,10,24,2.7,4,1,0,0,NA,0,0,1,0,0,0,0,0,0,2010
Terrence Austin,WAS,5,3,5,47,9.4,15.7,28,3.7,3,0,1,15,15,15,0,0,0,NA,0,0,0,0,2010
Brad Smith,NYJ,16,4,7,44,2.8,11,23,3.3,2,0,50,1432,28.6,97,2,0,0,NA,0,0,1,1,2010
Preston Parker,TAM,9,4,9,42,4.7,10.5,21,7.8,3,0,10,178,17.8,37,0,0,0,NA,0,0,0,0,2010
Taylor Price,NWE,1,3,4,41,41,13.7,18,8.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Nick Miller,OAK,9,3,4,40,4.4,13.3,32,1.3,1,0,2,37,18.5,27,0,35,257,7.3,46,0,0,0,2010
Brandon James,IND,3,6,11,40,13.3,6.7,17,2.3,3,0,14,229,16.4,26,0,7,35,5,14,0,0,0,2010
Dwayne Jarrett,CAR,3,2,5,40,13.3,20,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Chaz Schilens,OAK,5,5,9,40,8,8,11,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
Kevin Ogletree,DAL,6,3,6,34,5.7,11.3,19,2.7,2,0,6,109,18.2,31,0,0,0,NA,0,0,0,0,2010
Derrick Williams,DET,7,3,5,30,4.3,10,17,3,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Patrick Turner,NYJ,5,2,2,26,5.2,13,21,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Richard Goodman,SDG,3,1,2,25,8.3,25,25,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2010
Michael Clayton,NYG,6,2,4,19,3.2,9.5,14,1,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Hank Baskett,MIN,6,1,4,18,2.3,18,18,7,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Yamon Figurs,CLE,1,2,2,17,8.5,8.5,11,4,1,0,5,105,21,25,0,1,10,10,10,0,0,0,2010
Matt Willis,DEN,6,1,2,17,2.8,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Quan Cosby,CIN,16,2,2,16,1,8,11,3,1,0,3,44,14.7,18,0,30,225,7.5,20,0,0,0,2010
Brandon Banks,WAS,13,2,5,10,0.8,5,15,0,1,0,46,1155,25.1,96,1,38,431,11.3,53,0,0,0,2010
Kyle Williams,SFO,4,1,1,8,2,8,8,3,0,0,4,82,20.5,30,0,3,16,5.3,9,0,0,0,2010
Paul Hubbard,BUF,1,1,3,8,8,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Sam Aiken,CLE,3,1,1,7,2.3,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Kevin Curtis,MIA,2,1,2,6,3,6,6,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Manuel Johnson,DAL,2,1,5,6,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Duke Calhoun,NYG,9,1,2,4,0.4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Gary Banks,SDG,2,1,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Devin Thomas,NYG,4,0,1,0,0,NA,0,NA,0,0,15,399,26.6,42,0,0,0,NA,0,0,0,0,2010
Marcus Smith,BAL,14,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Kenneth Moore,IND,2,0,0,0,0,NA,0,NA,0,0,5,102,20.4,27,0,6,36,6,16,0,0,0,2010
Marc Mariani,TEN,16,0,2,0,0,NA,0,NA,0,0,60,1530,25.5,98,1,27,329,12.2,87,1,0,0,2010
Brian Clark,DET,4,0,1,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Demetrius Williams,CLE,2,0,2,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Courtney Roby,NOR,13,0,0,0,0,NA,0,NA,0,0,33,785,23.8,39,0,0,0,NA,0,0,0,0,2010
Matthew Slater,NWE,15,0,1,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Arnaz Battle,PIT,15,0,2,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2010
Armanti Edwards,CAR,3,0,2,0,0,NA,0,NA,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,2010
David Reed,BAL,13,0,1,0,0,NA,0,NA,0,0,21,616,29.3,103,1,0,0,NA,0,0,0,0,2010
Carlton Mitchell,CLE,5,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Jeremy Horne,KAN,3,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Charly Martin,CAR,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Joe Webb,MIN,5,0,0,0,0,NA,0,NA,0,0,1,30,30,30,0,0,0,NA,0,0,1,0,2010
Dorin Dickerson,HOU,7,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
John Matthews,JAC,3,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Jesse Holley,DAL,12,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,2,2,2,0,0,0,2010
 Calvin Johnson,DET,16,96,NA,1681,105.1,17.5,73,5.7,77,16,0,0,0,0,0,0,0,0,0,0,1,1,2011
 Wes Welker,NWE,16,122,NA,1569,98.1,12.9,99,6.2,77,9,0,0,NA,0,0,8,82,10.3,25,0,0,0,2011
 Victor Cruz,NYG,16,82,NA,1536,96,18.7,99,7.4,59,9,0,0,NA,0,0,3,12,4,11,0,1,1,2011
 Larry Fitzgerald,ARI,16,80,NA,1411,88.2,17.6,73,6.4,61,8,0,0,0,0,0,0,0,0,0,0,0,0,2011
 Steve Smith,CAR,16,79,NA,1394,87.1,17.6,77,5.9,53,7,0,0,NA,0,0,0,0,NA,0,0,3,2,2011
 Roddy White,ATL,16,100,NA,1296,81,13,43,3.8,77,8,0,0,NA,0,0,0,0,NA,0,0,0,0,2011
