Name,Team,G,Rec,Rec Tgt,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC,Rec 1stD,Rec TD,KR,KR Yds,KR Avg,KR Lng,KR TD,PR,PR Yds,PR Avg,PR Long,PR TD,Fum,FumL
Kenneth Moore,IND,2,0,0,0,0.0,,0,,0,0,5,102,20.4,27,0,6,36,6.0,16,0,0,0
Marc Mariani,TEN,16,0,2,0,0.0,,0,,0,0,60,1530,25.5,98,1,27,329,12.2,87,1,0,0
Brian Clark,DET,4,0,1,0,0.0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
Demetrius Williams,CLE,2,0,2,0,0.0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Roby,NOR,13,0,0,0,0.0,,0,,0,0,33,785,23.8,39,0,0,0,,0,0,0,0
Matthew Slater,NWE,15,0,1,0,0.0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
Arnaz Battle,PIT,15,0,2,0,0.0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
Armanti Edwards,CAR,3,0,2,0,0.0,,0,,0,0,0,0,,0,0,2,0,0.0,0,0,0,0
David Reed,BAL,13,0,1,0,0.0,,0,,0,0,21,616,29.3,103,1,0,0,,0,0,0,0
Carlton Mitchell,CLE,5,0,1,0,0.0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Horne,KAN,3,0,1,0,0.0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charly Martin,CAR,1,0,0,0,0.0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Webb,MIN,5,0,0,0,0.0,,0,,0,0,1,30,30.0,30,0,0,0,,0,0,1,0
Dorin Dickerson,HOU,7,0,1,0,0.0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Matthews,JAC,3,0,1,0,0.0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse Holley,DAL,12,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,2,2.0,2,0,0,0
