Name,Team,G,Rush ,Rush Yds,Rush YG,Rush Avg,Rush TD,Rec ,Rec Yds,Rec YG,Rec Avg,Rec Lng,YAC ,Rec 1stD,Rec TD,Fum ,FumL 
Lawrence Vickers,HOU,14,1,0,0,0,0,4,29,2.1,7.3,17,6.3,2,0,0,0
Reagan Maui'a,ARI,3,0,0,0, ,0,1,12,4,12,12,9,1,0,0,0
Korey Hall,NOR,13,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
Henry Hynoski,NYG,11,0,0,0, ,0,12,83,7.5,6.9,14,6.9,6,0,0,0
Shaun Chapas,DAL,3,0,0,0, ,0,1,9,3,9,9,10,0,0,0,0
Corey McIntyre,BUF,16,0,0,0, ,0,1,4,0.3,4,4,3,0,0,0,0
Ryan Mahaffey,IND,5,0,0,0, ,0,1,5,1,5,5,2,1,0,0,0
Moran Norris,SFO,5,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
Eldra Buckley,DET,2,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
Lousaka Polite,NWE,1,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
Chris Massey,CHI,6,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
Mike Cox,ATL,9,0,0,0, ,0,2,8,0.9,4,8,3.5,0,0,1,0
Antone Smith,ATL,12,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
Chris Pressley,CIN,15,0,0,0, ,0,3,19,1.3,6.3,9,6.3,1,0,0,0
Ryan D'Imperio,MIN,12,0,0,0, ,0,2,7,0.6,3.5,6,3.5,1,0,0,0
Erik Lorig,TAM,16,0,0,0, ,0,6,53,3.3,8.8,22,6.7,2,0,0,0
Chris Gronkowski,IND,7,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
Quinn Porter,STL,12,0,0,0, ,0,0,0,0, ,0, ,0,0,0,0
David Johnson,PIT,16,0,0,0, ,0,12,91,5.7,7.6,25,5.4,5,1,0,0
Aaron Brown,DET,1,1,0,0,0,0,1,9,9,9,9,9,0,0,0,0
Tyler Clutts,CHI,16,0,0,0, ,0,8,48,3,6,10,4.9,2,0,1,0
Mike Sellers,WAS,12,0,0,0, ,0,1,15,1.3,15,15,8,1,0,0,0
Mike Goodson,CAR,4,0,0,0, ,0,1,4,1,4,4,0,0,0,0,0
Charles Clay,MIA,14,0,0,0, ,0,16,233,16.6,14.6,46,5.1,12,3,0,0
Quinn Johnson,TEN,4,0,0,0, ,0,3,30,7.5,10,13,9.7,1,0,0,0
Chauncey Washington,DAL,2,1,-1,-0.5,-1,0,2,13,6.5,6.5,15,10.5,1,0,0,0
