Name,Team,G,Rec,Targets,Rec.Yds,Rec.YG,Rec.Avg,Rec.Lng,YAC,Rec.1stD,Rec.TD,Rush,Rush.Yds,Rush.YG,Rush.Avg,Rush.TD,Fum,FumL,year
Clay Harbor,PHI,9,9,15,72,8,8,24,2.2,3,1,0,0,0,NA,0,0,0,2010
Bear Pascoe,NYG,15,9,13,72,4.8,8,12,6.7,5,0,0,0,0,NA,0,0,0,2010
Dan Gronkowski,DEN,12,8,13,65,5.4,8.1,13,3.6,3,0,0,0,0,NA,0,0,0,2010
Tom Crabtree,GNB,16,4,7,61,3.8,15.3,33,8.3,2,0,0,0,0,NA,0,0,0,2010
Robert Royal,CLE,15,5,12,56,3.7,11.2,20,3.4,2,1,0,0,0,NA,0,0,0,2010
Alge Crumpler,NWE,16,6,10,52,3.3,8.7,27,5.8,4,2,0,0,0,NA,0,0,0,2010
Jim Dray,ARI,16,3,9,47,2.9,15.7,24,7.7,3,0,0,0,0,NA,0,0,0,2010
David Johnson,PIT,16,4,6,46,2.9,11.5,25,7.5,2,0,0,0,0,NA,0,0,0,2010
Mickey Shuler,MIA,6,2,5,44,7.3,22,28,7,2,0,0,0,0,NA,0,0,0,2010
David Martin,BUF,16,7,8,43,2.7,6.1,15,3.7,3,1,0,0,0,NA,0,0,0,2010
Brandon Manumaleuna,CHI,16,5,7,43,2.7,8.6,16,5.4,4,1,0,0,0,NA,0,0,0,2010
Jerramy Stevens,TAM,5,3,5,43,8.6,14.3,22,4.7,2,0,0,0,0,NA,0,0,0,2010
Reggie Kelly,CIN,16,10,13,42,2.6,4.2,9,2.9,0,0,0,0,0,NA,0,0,0,2010
Stephen Spach,ARI,15,7,17,40,2.7,5.7,14,3.1,3,0,0,0,0,NA,0,0,0,2010
Brody Eldridge,IND,14,5,9,39,2.8,7.8,10,3.6,1,0,0,0,0,NA,0,0,0,2010
Ryan Purvis,TAM,10,5,6,38,3.8,7.6,12,6.2,3,0,0,0,0,NA,0,0,0,2010
Will Heller,DET,16,4,5,37,2.3,9.3,13,8.8,1,1,0,0,0,NA,0,0,0,2010
Jake O'Connell,KAN,15,3,4,31,2.1,10.3,18,8.3,2,0,0,0,0,NA,0,0,0,2010
Jeff Dugan,MIN,16,4,5,30,1.9,7.5,10,6.3,3,0,2,2,0.1,1,0,0,0,2010
Chase Coffman,CIN,6,3,5,30,5,10,14,6.3,2,0,0,0,0,NA,0,0,0,2010
Michael Palmer,ATL,14,5,8,29,2.1,5.8,11,3.6,3,1,0,0,0,NA,0,0,0,2010
Nate Byham,SFO,14,5,7,27,1.9,5.4,9,5.4,0,0,0,0,0,NA,0,0,0,2010
Shawn Nelson,BUF,5,3,4,25,5,8.3,12,4.7,1,0,0,0,0,NA,0,1,1,2010
Zach Potter,JAC,13,3,8,24,1.8,8,10,4.3,1,0,0,0,0,NA,0,0,0,2010
Kellen Davis,CHI,16,1,2,19,1.2,19,19,4,1,1,0,0,0,NA,0,0,0,2010
Garrett Mills,PHI,7,2,3,19,2.7,9.5,14,0,1,0,0,0,0,NA,0,0,0,2010
Fendi Onobun,STL,3,2,4,15,5,7.5,8,3.5,1,0,0,0,0,NA,0,0,0,2010
Tory Humphrey,NOR,6,1,2,12,2,12,12,12,1,0,0,0,0,NA,0,0,0,2010
Gijon Robinson,IND,11,3,7,12,1.1,4,6,2.3,2,1,0,0,0,NA,0,0,0,2010
Desmond Clark,CHI,5,1,2,12,2.4,12,12,9,1,0,0,0,0,NA,0,0,0,2010
Logan Paulsen,WAS,10,2,2,10,1,5,9,4.5,1,1,0,0,0,NA,0,0,0,2010
Richard Quinn,DEN,14,1,2,9,0.6,9,9,11,0,0,0,0,0,NA,0,0,0,2010
Scott Chandler,BUF,4,1,3,8,0.6,8,8,5,0,0,0,0,0,NA,0,0,0,2010
Ben Hartsock,NYJ,16,1,3,7,0.4,7,7,1,1,0,0,0,0,NA,0,0,0,2010
Alex Smith,CLE,3,1,1,6,2,6,6,3,0,0,0,0,0,NA,0,0,0,2010
Ernest Wilford,JAC,2,1,2,3,1.5,3,3,0,0,0,0,0,0,NA,0,0,0,2010
Jeff Cumberland,NYJ,1,1,2,3,3,3,3,3,0,0,0,0,0,NA,0,0,0,2010
Dennis Pitta,BAL,11,1,5,1,0.1,1,1,0,0,0,0,0,0,NA,0,0,0,2010
Mike Leach,ARI,16,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Brian Jennings,SFO,16,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Joe Zelenka,ATL,16,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Jeron Mastrud,MIA,8,0,1,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Justin Snow,IND,16,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
J.P. Foschi,CIN,2,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Martin Rucker,DAL,5,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Gary Barnidge,CAR,16,0,9,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Matthew Mulligan,NYJ,13,0,1,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Daniel Coats,CIN,6,0,2,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Derek Schouman,STL,3,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Darcy Johnson,STL,4,0,2,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Spencer Havner,DET,5,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
Colin Cloherty,SFO,2,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,2010
 Rob Gronkowski,NWE,16,90,NA,1327,82.9,14.7,52,7.4,69,17,1,2,0.1,2,1,0,0,2011
 Jimmy Graham,NOR,16,99,NA,1310,81.9,13.2,59,4.9,74,11,0,0,0,NA,0,1,1,2011
 Jason Witten,DAL,16,79,NA,942,58.9,11.9,64,4.5,47,5,0,0,0,NA,0,1,0,2011
 Aaron Hernandez,NWE,14,79,NA,910,65,11.5,46,6.8,46,7,5,45,3.2,9,0,1,1,2011
 Tony Gonzalez,ATL,16,80,NA,875,54.7,10.9,30,3.2,53,7,0,0,0,NA,0,0,0,2011
 Dustin Keller,NYJ,16,65,NA,815,50.9,12.5,41,5,39,5,0,0,0,NA,0,1,1,2011
 Brent Celek,PHI,16,62,NA,811,50.7,13.1,73,8.1,35,5,0,0,0,NA,0,0,0,2011
 Fred Davis,WAS,12,59,NA,796,66.3,13.5,42,6.1,39,3,0,0,0,NA,0,1,1,2011
 Vernon Davis,SFO,16,67,NA,792,49.5,11.8,44,5.2,33,6,2,-5,-0.3,-2.5,0,3,1,2011
 Antonio Gates,SDG,13,64,NA,778,59.8,12.2,38,4.3,45,7,0,0,0,NA,0,0,0,2011
 Brandon Pettigrew,DET,16,83,NA,777,48.6,9.4,27,4.1,37,5,0,0,0,NA,0,0,0,2011
 Jermichael Finley,GNB,16,55,NA,767,47.9,13.9,41,4.5,44,8,0,0,0,NA,0,0,0,2011
 Kellen Winslow,TAM,16,75,NA,763,47.7,10.2,37,3.5,40,2,0,0,0,NA,0,2,1,2011
 Jared Cook,TEN,16,49,NA,759,47.4,15.5,80,6.8,34,3,0,0,0,NA,0,2,2,2011
 Owen Daniels,HOU,15,54,NA,677,45.1,12.5,34,5.8,41,3,0,0,0,NA,0,0,0,2011
 Heath Miller,PIT,16,51,NA,631,39.4,12.4,39,5.3,36,2,1,6,0.4,6,0,1,1,2011
 Jake Ballard,NYG,14,38,NA,604,43.1,15.9,41,5.2,31,4,0,0,0,NA,0,0,0,2011
 Jermaine Gresham,CIN,14,56,NA,596,42.6,10.6,31,3.6,31,6,0,0,0,NA,0,1,1,2011
 Greg Olsen,CAR,16,45,NA,540,33.8,12,44,4.7,27,5,0,0,0,NA,0,1,1,2011
 Ed Dickson,BAL,16,54,NA,528,33,9.8,25,3.4,30,5,0,0,0,NA,0,0,0,2011
 Marcedes Lewis,JAC,15,39,NA,460,30.7,11.8,62,4.3,22,0,0,0,0,NA,0,0,0,2011
 Jeremy Shockey,CAR,15,37,NA,455,30.3,12.3,29,5,24,4,0,0,0,NA,0,2,1,2011
 Anthony Fasano,MIA,15,32,NA,451,30.1,14.1,35,3.5,25,5,0,0,0,NA,0,0,0,2011
 Benjamin Watson,CLE,13,37,NA,410,31.5,11.1,34,5.5,21,2,0,0,0,NA,0,0,0,2011
 Visanthe Shiancoe,MIN,16,36,NA,409,25.6,11.4,37,4.3,26,3,0,0,0,NA,0,0,0,2011
 Dennis Pitta,BAL,16,40,NA,405,25.3,10.1,39,5,28,3,0,0,0,NA,0,0,0,2011
 Scott Chandler,BUF,14,38,NA,389,27.8,10.2,31,4.4,25,6,0,0,0,NA,0,1,1,2011
 Kevin Boss,OAK,14,28,NA,368,26.3,13.1,35,5,18,3,0,0,0,NA,0,0,0,2011
 Joel Dreessen,HOU,16,28,NA,353,22.1,12.6,56,6,17,6,0,0,0,NA,0,0,0,2011
 Dallas Clark,IND,11,34,NA,352,32,10.4,21,4.9,22,2,0,0,0,NA,0,1,1,2011
 Lance Kendricks,STL,15,28,NA,352,23.5,12.6,45,6.5,15,0,1,-8,-0.5,-8,0,1,1,2011
 Tony Scheffler,DET,15,26,NA,347,23.1,13.3,36,3.1,20,6,1,5,0.3,5,0,1,0,2011
 Evan Moore,CLE,16,34,NA,324,20.3,9.5,33,2.8,19,4,0,0,0,NA,0,0,0,2011
 Todd Heap,ARI,10,24,NA,283,28.3,11.8,28,4.8,9,1,0,0,0,NA,0,0,0,2011
 Randy McMichael,SDG,16,30,NA,271,16.9,9,30,6.6,12,0,0,0,0,NA,0,0,0,2011
 Jeff King,ARI,16,27,NA,271,16.9,10,48,5.1,13,3,0,0,0,NA,0,0,0,2011
 Daniel Fells,DEN,16,19,NA,256,16,13.5,32,5,13,3,0,0,0,NA,0,2,1,2011
 Kyle Rudolph,MIN,15,26,NA,249,16.6,9.6,41,3.9,14,3,0,0,0,NA,0,0,0,2011
 Leonard Pope,KAN,16,24,NA,247,15.4,10.3,39,5.3,12,1,0,0,0,NA,0,0,0,2011
 Zach Miller,SEA,15,25,NA,233,15.5,9.3,28,3.4,10,0,0,0,0,NA,0,0,0,2011
 Kellen Davis,CHI,16,18,NA,206,12.9,11.4,32,4.1,13,5,0,0,0,NA,0,0,0,2011
 Delanie Walker,SFO,15,19,NA,198,13.2,10.4,29,3.6,9,3,3,5,0.3,1.7,0,0,0,2011
 Jacob Tamme,IND,16,19,NA,177,11.1,9.3,29,4.8,10,1,0,0,0,NA,0,0,0,2011
 Craig Stevens,TEN,15,9,NA,166,11.1,18.4,58,9,6,1,0,0,0,NA,0,0,0,2011
 Clay Harbor,PHI,16,13,NA,163,10.2,12.5,27,3.6,8,1,0,0,0,NA,0,0,0,2011
